text,label
"Robert H. Schuller  Tough Times Never Last,  But Tough People Do!",positive
Robert H. Schuller  More than 6 months on The Times bestseller list.,positive
Heres How  You Can Be Tough Too!,positive
What is the secret ingredient of tough people?,positive
Why do they survive the tough times when others do not?,positive
"Never give up, even when times are tough.",positive
Perseverance is the key to success.,positive
You can overcome anything if you believe in yourself.,positive
Struggles make you stronger and wiser.,positive
Tough people never back down.,positive
This was the worst experience of my life.,negative
I will never come back to this place again.,negative
Totally disappointed with the service.,negative
I expected more and received less.,negative
The experience was awful and frustrating.,negative
